height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.000000000007ap+0,0x1.8bd61e7a410f1p-6,0x1.1a1225997d45dp-650,0x1.1c4cdfe2c949cp-643,0x0p+0,0x0p+0,0.042534
2,0x1.0000000000122p+0,0x1.a180a3f99c195p-5,0x1.a71b38663be8ep-649,0x1.addcc8a3c6a84p-642,0x0.00000000000b7p-1022,0x0.00000000000b7p-1022,0.0324273
3,0x1.000000000013cp+0,0x1.4b715a3970883p-4,0x1.ed9fc1cc9b3a8p-648,0x1.fa1ed2ef4b7bbp-641,0x0.0000000003ed3p-1022,0x0.00000004c4723p-1022,0.0998927
4,0x1.0000000000172p+0,0x1.7f03967299eap-4,0x1.0871033fe571cp-646,0x1.11e64d640672bp-639,0x1.ab2618581e3bbp-884,0x1.d4fae1fd5b928p-876,4.26638
5,0x1.00000000001ddp+0,0x1.b241b07c28ad1p-4,0x1.1141946cb15c2p-645,0x1.1e16c81023edp-638,0x1.07c30ea328cbfp-752,0x1.21a6a4a6e29ap-744,3.71715
6,0x1.00000000002b8p+0,0x1.e3febabf14c81p-4,0x1.15a9dd0415cccp-644,0x1.25f78fb3be0f9p-637,0x1.fcf6b51035883p-677,0x1.1783eb0a7dd8cp-668,3.17159
7,0x1.000000000046ap+0,0x1.043010e6d7dadp-3,0x1.fa9899c8dc518p-625,0x1.16421bb5d42fdp-616,0x1.fa9853d15bfdap-625,0x1.164208fa972d4p-616,3.15635
8,0x1.00000000007dp+0,0x1.160ed66a27ddcp-3,0x1.83cfc7ac6096ap-584,0x1.aa16966a47909p-576,0x1.83cfc7ac5e9bfp-584,0x1.aa16966a4560cp-576,3.15095
9,0x1.0000000000e9bp+0,0x1.2768ca8e8f176p-3,0x1.b28726e4d1945p-551,0x1.dd7abca35b29p-543,0x1.b28726e34dc48p-551,0x1.dd7abca1ae98p-543,3.09305
10,0x1.0000000001c31p+0,0x1.37286c569e0a2p-3,0x1.b807a25e07482p-523,0x1.e3963c5ae4e9cp-515,0x1.b807a227b6633p-523,0x1.e3963c1edc431p-515,3.04291
11,0x1.000000000375dp+0,0x1.47044c245b404p-3,0x1.035b80290ddc9p-498,0x1.1d10bab55179bp-490,0x1.035b7e71063a2p-498,0x1.1d10b8cee457p-490,3.08531
12,0x1.0000000006dbap+0,0x1.5703ef39dff22p-3,0x1.50fc23b8b9d1bp-477,0x1.726e78b8b118ap-469,0x1.50fc138301cf1p-477,0x1.726e66ccbe3ccp-469,3.04579
13,0x1.000000000da6ep+0,0x1.670b85c156b74p-3,0x1.7b4d5160e49abp-458,0x1.a0ff500917899p-450,0x1.7b4cfd21dbac7p-458,0x1.a0fef2e0fe95ep-450,3.06391
